,Date,Company,Price,Revenue,Free cash flow,Total Debt,ROE,EPS,PE ratio
0,2000-03-31,Company_001,245.3685,,95.9499,278.9544,-1.208,8.4915,28.7456
1,2000-06-30,Company_001,244.0929,345.8772,95.183,268.4601,-0.6373,5.4064,45.3553
2,2000-09-30,Company_001,245.2091,362.1441,96.1191,381.6432,1.628,4.8618,49.6044
3,2000-12-31,Company_001,241.167,248.8992,103.6387,385.7371,1.7514,,29.6144
4,2001-03-31,Company_001,238.8435,199.8377,106.3144,417.9813,11.8964,3.7373,63.346
5,2001-06-30,Company_001,236.7428,,100.1008,,1.8571,2.8401,84.1614
6,2001-09-30,Company_001,239.0284,328.1402,100.8078,,-3.8709,,32.4206
7,2001-12-31,Company_001,235.332,265.9024,91.7311,357.2272,-15.9472,5.5524,40.502
8,2002-03-31,Company_001,224.8818,303.8634,100.2064,268.0751,-14.3769,5.6143,39.3781
9,2002-06-30,Company_001,221.0803,389.822,97.6931,311.4432,1.5394,4.7598,45.7611
10,2002-09-30,Company_001,217.8146,260.3661,89.0385,368.7239,,,
11,2002-12-31,Company_001,-211.7191,,82.2336,418.2655,,4.4108,47.6124
12,2003-03-31,Company_001,210.0069,320.1862,85.1662,,-11.231,4.0708,
13,2003-06-30,Company_001,207.0372,236.6671,88.0299,203.2318,-7.0512,4.3858,46.5649
14,2003-09-30,Company_001,204.2239,291.1864,,392.9688,-3.2838,4.1208,47.4825
15,2003-12-31,Company_001,195.6654,303.4249,99.6147,570.8621,11.8654,3.4015,56.7829
16,2004-03-31,Company_001,193.1475,145.4245,87.9636,366.0404,-4.3856,3.9095,50.0167
17,2004-06-30,Company_001,195.5384,318.6682,86.4389,398.7186,6.807,0.5587,331.647
18,2004-09-30,Company_001,-185.3004,278.7734,90.2247,523.7582,-5.1526,5.5558,33.0689
19,2004-12-31,Company_001,183.7235,,88.6337,440.1776,,5.0783,36.0819
20,2005-03-31,Company_001,183.2346,227.8134,93.8458,,,4.2756,42.3735
21,2005-06-30,Company_001,181.1729,221.0396,84.6475,436.2435,-5.7044,4.7244,37.8398
22,2005-09-30,Company_001,178.7719,197.7304,,428.2307,-16.2324,4.6865,37.3378
23,2005-12-31,Company_001,174.9821,266.609,85.9251,328.2146,-9.6954,,
24,2006-03-31,Company_001,176.1462,314.7576,92.9639,310.2217,5.5832,3.5058,50.97
25,2006-06-30,Company_001,178.6885,206.2037,86.8436,532.5521,0.7922,5.2849,34.5844
26,2006-09-30,Company_001,182.7747,310.6158,84.6661,413.0585,-10.4739,4.7617,38.2486
27,2006-12-31,Company_001,182.1277,286.0556,100.2999,404.0023,-9.4704,7.7163,23.8797
28,2007-03-31,Company_001,184.2623,225.9882,,390.509,-21.3246,7.0473,26.1496
29,2007-06-30,Company_001,184.2844,222.6806,78.0499,450.7867,5.8837,,30.9422
30,2007-09-30,Company_001,185.2022,115.0866,85.9264,577.3798,0.9537,3.2682,56.1906
31,2007-12-31,Company_001,183.6448,93.765,,427.4645,-7.2526,3.707,50.9045
32,2008-03-31,Company_001,188.7052,220.7064,81.5064,355.2199,-4.8308,2.9059,63.4351
33,2008-06-30,Company_001,184.3373,153.5089,95.2693,371.0808,,5.2108,37.5088
34,2008-09-30,Company_001,195.4505,224.4064,95.4427,449.2612,-9.0314,0.5575,359.1273
35,2008-12-31,Company_001,200.2251,186.1506,,331.0123,6.6106,4.186,48.0406
36,2009-03-31,Company_001,201.0996,90.9032,92.0921,427.3351,3.9668,4.5147,45.3242
37,2009-06-30,Company_001,-204.6267,266.5697,80.1795,197.0036,-1.1678,,
38,2009-09-30,Company_001,208.663,,104.5926,,-3.4539,6.5207,32.9715
39,2009-12-31,Company_001,214.9962,256.3903,92.5323,391.74,3.7962,3.5378,61.6454
40,2010-03-31,Company_001,218.091,181.7163,,,-5.1812,5.8151,37.8745
41,2010-06-30,Company_001,220.2436,219.3309,97.573,294.1696,-17.5572,9.6555,22.2523
42,2010-09-30,Company_001,214.8569,374.4283,102.664,240.607,-3.0268,2.7994,78.008
43,2010-12-31,Company_001,218.3792,,92.5872,321.8191,0.942,5.2241,
44,2011-03-31,Company_001,222.9014,,96.5312,,7.1424,4.8285,46.2753
45,2011-06-30,Company_001,223.4392,158.6283,99.0706,325.5159,-14.5059,4.5797,
46,2011-09-30,Company_001,225.7676,,101.5616,330.3787,-2.8775,6.8215,33.6171
47,2011-12-31,Company_001,229.3186,415.1768,103.8659,232.3054,-2.0963,7.4583,31.2265
48,2012-03-31,Company_001,232.896,380.8142,94.5017,378.0692,-10.5402,7.0053,33.6766
49,2012-06-30,Company_001,235.916,339.3491,93.5104,308.8402,,4.6638,50.762
50,2012-09-30,Company_001,-236.7446,277.8001,106.1735,392.7186,5.5927,9.7155,24.6245
51,2012-12-31,Company_001,239.2385,319.3243,86.6351,176.9728,-2.6391,3.2239,76.0798
52,2013-03-31,Company_001,245.2711,361.9686,107.7171,241.9639,,4.2789,56.2937
53,2013-06-30,Company_001,240.8726,227.7847,96.2722,351.4903,-3.4191,6.1609,
54,2013-09-30,Company_001,240.1616,,98.3484,256.0233,-4.3344,6.0753,
55,2013-12-31,Company_001,241.8032,153.0539,95.0394,,-4.0876,6.8238,36.1266
56,2014-03-31,Company_001,246.522,,98.2732,310.9393,-7.3656,8.4592,28.7177
57,2014-06-30,Company_001,242.9292,409.113,105.6942,326.9794,-5.5254,5.689,42.1148
58,2014-09-30,Company_001,239.59,251.9562,102.8669,,-12.8731,,39.55
59,2014-12-31,Company_001,240.7763,248.0419,,330.6933,-2.6981,4.8644,48.6445
60,2015-03-31,Company_001,236.6249,298.1927,97.995,,-0.6037,6.7259,35.1362
61,2015-06-30,Company_001,-236.3217,149.6484,89.3652,362.5613,-20.179,5.3908,44.5601
62,2015-09-30,Company_001,240.2136,356.9807,93.5368,302.0829,-1.2239,5.4699,44.4976
63,2015-12-31,Company_001,-243.396,390.0213,97.5695,312.3984,,,
64,2016-03-31,Company_001,249.3777,321.0366,102.6407,481.2101,4.8088,7.7938,32.1705
