Unnamed: 0,Date,Company,Price,Revenue,Free cash flow,Total Debt,ROE,EPS,PE ratio,Next_Quarter_Price,Return,Target
0,2000-03-31,Company_001,245.3685,345.8772,95.9499,278.9544,-1.208,8.4915,28.7456,244.0929,-0.005198711326026061,0
1,2000-06-30,Company_001,244.0929,345.8772,95.183,268.4601,-0.6373,5.4064,45.3553,245.2091,0.004572849107860247,1
2,2000-09-30,Company_001,245.2091,362.1441,96.1191,381.6432,1.628,4.8618,49.6044,241.167,-0.01648429850278805,0
3,2000-12-31,Company_001,241.167,248.8992,103.6387,385.7371,1.7514,8.143572046031661,29.6144,238.8435,-0.009634402716789593,0
4,2001-03-31,Company_001,238.8435,199.8377,106.3144,417.9813,11.8964,3.7373,63.346,236.7428,-0.008795299013789438,0
5,2001-06-30,Company_001,236.7428,263.98895,100.1008,387.60425,1.8571,2.8401,84.1614,239.0284,0.009654359076601345,1
6,2001-09-30,Company_001,239.0284,328.1402,100.8078,387.60425,-3.8709,7.372732151780041,32.4206,235.332,-0.015464271191205779,0
7,2001-12-31,Company_001,235.332,265.9024,91.7311,357.2272,-15.9472,5.5524,40.502,224.8818,-0.044406200601703104,0
8,2002-03-31,Company_001,224.8818,303.8634,100.2064,268.0751,-14.3769,5.6143,39.3781,221.0803,-0.016904436019277703,0
9,2002-06-30,Company_001,221.0803,389.822,97.6931,311.4432,1.5394,4.7598,45.7611,217.8146,-0.014771555855496764,0
10,2002-09-30,Company_001,217.8146,260.3661,89.0385,368.7239,-4.8458,4.5853,46.68675,-211.7191,-1.9720151909008854,0
11,2002-12-31,Company_001,-211.7191,290.27615000000003,82.2336,418.2655,-4.8458,4.4108,47.6124,210.0069,-1.9919128694576917,0
12,2003-03-31,Company_001,210.0069,320.1862,85.1662,310.74865,-11.231,4.0708,51.58860666208116,207.0372,-0.014140963939756212,0
13,2003-06-30,Company_001,207.0372,236.6671,88.0299,203.2318,-7.0512,4.3858,46.5649,204.2239,-0.01358837928642788,0
14,2003-09-30,Company_001,204.2239,291.1864,93.8223,392.9688,-3.2838,4.1208,47.4825,195.6654,-0.04190743590735453,0
15,2003-12-31,Company_001,195.6654,303.4249,99.6147,570.8621,11.8654,3.4015,56.7829,193.1475,-0.012868396763045471,0
